"id","name","color","created_at","updated_at","ancestry","ancestry_depth"
62,Bitter,#6C6C6C,2017-09-19 00:17:25.542,2020-05-07 18:29:50.258,"49/217",2
73,Ash,#6C6C6C,2017-09-19 00:17:25.593,2020-05-07 18:29:50.264,"49/217",2
218,Fishy,#6C6C6C,2018-10-11 01:35:46.054,2020-05-07 18:29:50.269,"49/217",2
220,Wood smoke,#6C6C6C,2018-10-11 01:35:46.060,2020-05-07 18:29:50.276,"49/219",2
221,Diesel,#6C6C6C,2018-10-11 01:35:46.062,2020-05-07 18:29:50.282,"49/219",2
84,Nutmeg,#953A77,2017-09-19 00:17:25.635,2018-09-19 19:18:16.684,"79/82",2
85,Cinnamon,#953A77,2017-09-19 00:17:25.639,2018-09-19 19:18:16.687,"79/82",2
86,Clove,#953A77,2017-09-19 00:17:25.642,2018-09-19 19:18:16.691,"79/82",2
93,Milk chocolate,#A96B4B,2017-09-19 00:17:25.672,2018-10-11 01:35:45.588,"87/92",2
222,Turpeny,#6C6C6C,2018-10-11 01:35:46.064,2020-05-07 18:29:50.287,"49/219",2
223,Baggy,#6C6C6C,2018-10-11 01:35:46.067,2020-05-07 18:29:50.292,"49/219",2
53,Paper,#6C6C6C,2017-09-19 00:17:25.503,2020-05-07 18:29:50.304,"49/50",2
54,Dried wood,#6C6C6C,2017-09-19 00:17:25.507,2020-05-07 18:29:50.309,"49/50",2
51,Stale bread,#6C6C6C,2017-09-19 00:17:25.496,2020-05-07 18:29:50.314,"49/50",2
225,Raw potato,#6C6C6C,2018-10-11 01:35:46.109,2020-05-07 18:29:50.321,"49/224",2
57,Musty,#6C6C6C,2017-09-19 00:17:25.519,2020-05-07 18:29:50.328,"49/226",2
55,Mildew,#6C6C6C,2017-09-19 00:17:25.511,2020-05-07 18:29:50.333,"49/226",2
60,Phenolic,#6C6C6C,2017-09-19 00:17:25.534,2020-05-07 18:29:50.354,"49/61",2
227,Chlorine,#6C6C6C,2018-10-11 01:35:46.146,2020-05-07 18:29:50.359,"49/61",2
228,Bandage,#6C6C6C,2018-10-11 01:35:46.149,2020-05-07 18:29:50.364,"49/61",2
229,Iodine,#6C6C6C,2018-10-11 01:35:46.151,2020-05-07 18:29:50.369,"49/61",2
28,Funk/Garbage,#6C6C6C,2017-09-19 00:17:25.399,2020-05-07 18:29:50.376,"49/230",2
32,Over fermentation,#6C6C6C,2017-09-19 00:17:25.414,2020-05-07 18:23:05.161,"49",1
25,Over ripe,#6C6C6C,2017-09-19 00:17:25.387,2020-05-07 18:23:05.166,"49",1
58,Animal hide,#6C6C6C,2017-09-19 00:17:25.523,2020-05-07 18:29:50.381,"49/230",2
66,Compost,#6C6C6C,2017-09-19 00:17:25.561,2020-05-07 18:29:50.386,"49/230",2
34,Whiskey,#6C6C6C,2017-09-19 00:17:25.422,2020-05-07 18:29:50.413,"49/32",2
35,Fermented,#6C6C6C,2017-09-19 00:17:25.426,2020-05-07 18:29:50.418,"49/32",2
231,Old wine,#6C6C6C,2018-10-11 01:35:46.199,2020-05-07 18:29:50.424,"49/32",2
232,Gamey,#6C6C6C,2018-10-11 01:35:46.201,2020-05-07 18:29:50.429,"49/32",2
233,Vinegar,#6C6C6C,2018-10-11 01:35:46.204,2020-05-07 18:29:50.434,"49/32",2
26,Sour,#6C6C6C,2017-09-19 00:17:25.391,2020-05-07 18:29:50.441,"49/25",2
27,Acetic acid,#6C6C6C,2017-09-19 00:17:25.395,2020-05-07 18:29:50.446,"49/25",2
36,Over ripe,#6C6C6C,2017-09-19 00:17:25.429,2020-05-07 18:29:50.451,"49/25",2
234,Garlic-onion,#6C6C6C,2018-10-11 01:35:46.261,2020-05-07 18:29:50.456,"49/25",2
