"id","name","label","species_id","created_at","updated_at","description"
223,Andung Sari,Andung Sari,1,2019-11-22 17:20:17.842,2019-11-22 17:20:17.842,
226,"74116","74116",1,2019-12-02 17:22:11.004,2019-12-02 17:22:11.004,
229,San Juan,San Juan,1,2019-12-11 21:37:12.844,2019-12-11 21:37:12.844,
232,Udaini,Udaini,1,2020-01-03 17:32:11.821,2020-01-03 17:32:11.821,
235,San Salvador,San Salvador,1,2020-01-16 23:32:18.792,2020-01-16 23:32:18.792,
238,Red Catuai 144,Red Catuai 144,1,2020-04-10 20:40:37.127,2020-04-10 20:40:37.127,
241,Yellow Catucai,Yellow Catucai,1,2020-04-19 16:46:45.956,2020-04-19 16:46:45.956,
244,Bourbon Mayaguez,Bourbon Mayaguez,1,2020-05-11 23:30:57.725,2020-05-11 23:30:57.725,
247,Gayo 1,Gayo 1,1,2020-05-29 22:35:17.821,2020-05-29 22:35:17.821,
248,Gayo 2,Gayo 2,1,2020-05-29 22:35:24.336,2020-05-29 22:35:24.336,
